시군구,연도,분기,기간,고령인구비율,세이상인구_평균,전체인구_평균
강릉시,2008,1,2008.1/4,12.77,28058.67,219891.67
강릉시,2008,2,2008.2/4,12.9,28297.0,219384.0
강릉시,2008,3,2008.3/4,12.97,28379.67,219011.0
강릉시,2008,4,2008.4/4,13.07,28580.67,218557.33
강릉시,2009,1,2009.1/4,13.3,28964.67,217929.0
강릉시,2009,2,2009.2/4,13.5,29331.0,217517.0
강릉시,2009,3,2009.3/4,13.57,29495.67,217568.67
강릉시,2009,4,2009.4/4,13.67,29763.67,217557.67
강릉시,2010,1,2010.1/4,13.87,30116.0,217300.33
강릉시,2010,2,2010.2/4,14.1,30562.67,216973.0
강릉시,2010,3,2010.3/4,14.2,30847.67,216862.33
강릉시,2010,4,2010.4/4,14.3,31226.33,218578.67
강릉시,2011,1,2011.1/4,14.37,31403.67,218322.33
강릉시,2011,2,2011.2/4,14.53,31648.0,217910.33
강릉시,2011,3,2011.3/4,14.67,31925.0,217914.0
강릉시,2011,4,2011.4/4,14.77,32153.0,217735.33
강릉시,2012,1,2012.1/4,14.93,32498.33,217698.0
강릉시,2012,2,2012.2/4,15.1,32884.33,217812.67
강릉시,2012,3,2012.3/4,15.23,33201.67,217732.0
강릉시,2012,4,2012.4/4,15.37,33518.33,217878.33
강릉시,2013,1,2013.1/4,15.6,33938.67,217312.0
강릉시,2013,2,2013.2/4,15.77,34250.33,217195.33
강릉시,2013,3,2013.3/4,15.9,34512.33,216956.0
강릉시,2013,4,2013.4/4,16.03,34759.33,216905.33
강릉시,2014,1,2014.1/4,16.27,35150.33,216386.67
강릉시,2014,2,2014.2/4,16.4,35466.67,216135.67
강릉시,2014,3,2014.3/4,16.57,35710.33,215790.33
강릉시,2014,4,2014.4/4,16.67,35964.67,215893.67
강릉시,2015,1,2015.1/4,16.8,36168.67,215380.33
강릉시,2015,2,2015.2/4,16.9,36397.0,215144.67
강릉시,2015,3,2015.3/4,17.03,36621.67,214883.33
강릉시,2015,4,2015.4/4,17.17,36859.67,214710.67
강릉시,2016,1,2016.1/4,17.33,37143.33,214201.67
강릉시,2016,2,2016.2/4,17.4,37314.0,214214.67
강릉시,2016,3,2016.3/4,17.5,37450.33,214061.67
강릉시,2016,4,2016.4/4,17.57,37614.0,213930.0
강릉시,2017,1,2017.1/4,17.83,38101.67,213650.67
강릉시,2017,2,2017.2/4,18.2,38824.67,213766.0
강릉시,2017,3,2017.3/4,18.37,39301.0,213718.33
강릉시,2017,4,2017.4/4,18.53,39688.33,213963.67
강릉시,2018,1,2018.1/4,18.77,40042.0,213386.0
강릉시,2018,2,2018.2/4,18.97,40437.33,213168.67
강릉시,2018,3,2018.3/4,19.17,40759.0,212743.0
강릉시,2018,4,2018.4/4,19.33,41103.67,212833.67
강릉시,2019,1,2019.1/4,19.5,41542.33,212823.33
강릉시,2019,2,2019.2/4,19.73,42040.33,213223.67
강릉시,2019,3,2019.3/4,19.93,42514.67,213404.33
강릉시,2019,4,2019.4/4,20.13,42967.33,213510.67
강릉시,2020,1,2020.1/4,20.5,43673.67,213248.0
강릉시,2020,2,2020.2/4,20.8,44319.0,212943.0
강릉시,2020,3,2020.3/4,21.0,44791.0,212989.33
강릉시,2020,4,2020.4/4,21.27,45337.0,213193.33
강릉시,2021,1,2021.1/4,21.5,45868.33,213184.0
강릉시,2021,2,2021.2/4,21.7,46167.0,212785.0
강릉시,2021,3,2021.3/4,21.83,46558.67,213044.33
강릉시,2021,4,2021.4/4,22.1,47122.33,213071.0
강릉시,2022,1,2022.1/4,22.47,47788.0,212772.0
강릉시,2022,2,2022.2/4,22.73,48309.33,212405.67
강릉시,2022,3,2022.3/4,23.0,48814.0,212075.33
강릉시,2022,4,2022.4/4,23.33,49393.67,211554.67
강릉시,2023,1,2023.1/4,23.7,50001.33,210925.67
강릉시,2023,2,2023.2/4,24.0,50561.0,210548.0
강릉시,2023,3,2023.3/4,24.3,50991.67,210165.33
강릉시,2023,4,2023.4/4,24.6,51514.33,209635.67
강릉시,2024,1,2024.1/4,25.0,52230.67,208971.0
강릉시,2024,2,2024.2/4,25.4,52918.33,208542.0
강릉시,2024,3,2024.3/4,25.63,53394.0,208171.0
강릉시,2024,4,2024.4/4,26.0,54025.67,207818.67
강릉시,2025,1,2025.1/4,26.43,54808.67,207412.0
강릉시,2025,2,2025.2/4,26.8,55487.33,207027.0
강릉시,2025,3,2025.3/4,27.1,56089.33,206908.0
강릉시,2025,4,2025.4/4,27.47,56739.33,206503.0
강릉시,2026,1,2026.1/4,27.93,57481.0,205917.33
고성군,2008,1,2008.1/4,19.0,5741.33,30246.67
고성군,2008,2,2008.2/4,19.23,5818.33,30237.0
고성군,2008,3,2008.3/4,19.37,5851.33,30243.33
고성군,2008,4,2008.4/4,19.47,5872.67,30197.67
고성군,2009,1,2009.1/4,19.5,5892.0,30179.67
