시군구,연도,분기,기간,전문과목,전문의수
강릉시,2009,1/4,2009.1/4,가정의학과,16
강릉시,2009,2/4,2009.2/4,가정의학과,16
강릉시,2009,3/4,2009.3/4,가정의학과,12
강릉시,2009,4/4,2009.4/4,가정의학과,13
강릉시,2010,1/4,2010.1/4,가정의학과,15
강릉시,2010,2/4,2010.2/4,가정의학과,14
강릉시,2010,3/4,2010.3/4,가정의학과,14
강릉시,2010,4/4,2010.4/4,가정의학과,13
강릉시,2011,1/4,2011.1/4,가정의학과,13
강릉시,2011,2/4,2011.2/4,가정의학과,13
강릉시,2011,3/4,2011.3/4,가정의학과,12
강릉시,2011,4/4,2011.4/4,가정의학과,12
강릉시,2012,1/4,2012.1/4,가정의학과,12
강릉시,2012,2/4,2012.2/4,가정의학과,14
강릉시,2012,3/4,2012.3/4,가정의학과,14
강릉시,2012,4/4,2012.4/4,가정의학과,14
강릉시,2013,1/4,2013.1/4,가정의학과,15
강릉시,2013,2/4,2013.2/4,가정의학과,15
강릉시,2013,3/4,2013.3/4,가정의학과,14
강릉시,2013,4/4,2013.4/4,가정의학과,15
강릉시,2014,1/4,2014.1/4,가정의학과,16
강릉시,2014,2/4,2014.2/4,가정의학과,14
강릉시,2014,3/4,2014.3/4,가정의학과,15
강릉시,2014,4/4,2014.4/4,가정의학과,13
강릉시,2015,1/4,2015.1/4,가정의학과,13
강릉시,2015,2/4,2015.2/4,가정의학과,14
강릉시,2015,3/4,2015.3/4,가정의학과,13
강릉시,2015,4/4,2015.4/4,가정의학과,14
강릉시,2016,1/4,2016.1/4,가정의학과,15
강릉시,2016,2/4,2016.2/4,가정의학과,15
강릉시,2016,3/4,2016.3/4,가정의학과,15
강릉시,2016,4/4,2016.4/4,가정의학과,14
강릉시,2017,1/4,2017.1/4,가정의학과,18
강릉시,2017,2/4,2017.2/4,가정의학과,19
강릉시,2017,3/4,2017.3/4,가정의학과,19
강릉시,2017,4/4,2017.4/4,가정의학과,18
강릉시,2018,1/4,2018.1/4,가정의학과,20
강릉시,2018,2/4,2018.2/4,가정의학과,19
강릉시,2018,3/4,2018.3/4,가정의학과,18
강릉시,2018,4/4,2018.4/4,가정의학과,17
강릉시,2019,1/4,2019.1/4,가정의학과,17
강릉시,2019,2/4,2019.2/4,가정의학과,18
강릉시,2019,3/4,2019.3/4,가정의학과,19
강릉시,2019,4/4,2019.4/4,가정의학과,18
강릉시,2020,1/4,2020.1/4,가정의학과,20
강릉시,2020,2/4,2020.2/4,가정의학과,21
강릉시,2020,3/4,2020.3/4,가정의학과,19
강릉시,2020,4/4,2020.4/4,가정의학과,22
강릉시,2021,1/4,2021.1/4,가정의학과,21
강릉시,2021,2/4,2021.2/4,가정의학과,20
강릉시,2021,3/4,2021.3/4,가정의학과,19
강릉시,2021,4/4,2021.4/4,가정의학과,19
강릉시,2022,1/4,2022.1/4,가정의학과,22
강릉시,2022,2/4,2022.2/4,가정의학과,23
강릉시,2022,3/4,2022.3/4,가정의학과,23
강릉시,2022,4/4,2022.4/4,가정의학과,26
강릉시,2023,1/4,2023.1/4,가정의학과,22
강릉시,2023,2/4,2023.2/4,가정의학과,23
강릉시,2023,3/4,2023.3/4,가정의학과,23
강릉시,2023,4/4,2023.4/4,가정의학과,25
강릉시,2024,1/4,2024.1/4,가정의학과,27
강릉시,2024,2/4,2024.2/4,가정의학과,27
강릉시,2024,3/4,2024.3/4,가정의학과,24
강릉시,2024,4/4,2024.4/4,가정의학과,24
강릉시,2025,1/4,2025.1/4,가정의학과,24
강릉시,2025,2/4,2025.2/4,가정의학과,26
강릉시,2025,3/4,2025.3/4,가정의학과,23
강릉시,2025,4/4,2025.4/4,가정의학과,23
강릉시,2009,1/4,2009.1/4,결핵과,1
강릉시,2009,2/4,2009.2/4,결핵과,1
강릉시,2009,3/4,2009.3/4,결핵과,1
강릉시,2009,4/4,2009.4/4,결핵과,1
강릉시,2010,1/4,2010.1/4,결핵과,1
강릉시,2010,2/4,2010.2/4,결핵과,1
강릉시,2010,3/4,2010.3/4,결핵과,1
강릉시,2010,4/4,2010.4/4,결핵과,1
강릉시,2011,1/4,2011.1/4,결핵과,1
강릉시,2011,2/4,2011.2/4,결핵과,1
강릉시,2011,3/4,2011.3/4,결핵과,1
강릉시,2011,4/4,2011.4/4,결핵과,1
강릉시,2012,1/4,2012.1/4,결핵과,1
강릉시,2012,2/4,2012.2/4,결핵과,1
강릉시,2012,3/4,2012.3/4,결핵과,1
강릉시,2012,4/4,2012.4/4,결핵과,1
강릉시,2013,1/4,2013.1/4,결핵과,1
강릉시,2013,2/4,2013.2/4,결핵과,1
강릉시,2013,3/4,2013.3/4,결핵과,1
강릉시,2013,4/4,2013.4/4,결핵과,1
강릉시,2014,1/4,2014.1/4,결핵과,1
강릉시,2014,2/4,2014.2/4,결핵과,1
강릉시,2014,3/4,2014.3/4,결핵과,1
강릉시,2014,4/4,2014.4/4,결핵과,1
강릉시,2015,1/4,2015.1/4,결핵과,1
강릉시,2015,2/4,2015.2/4,결핵과,1
강릉시,2015,3/4,2015.3/4,결핵과,1
강릉시,2015,4/4,2015.4/4,결핵과,1
강릉시,2016,1/4,2016.1/4,결핵과,1
강릉시,2016,2/4,2016.2/4,결핵과,1
강릉시,2016,3/4,2016.3/4,결핵과,1
강릉시,2016,4/4,2016.4/4,결핵과,1
강릉시,2017,1/4,2017.1/4,결핵과,1
강릉시,2017,2/4,2017.2/4,결핵과,1
강릉시,2017,3/4,2017.3/4,결핵과,1
강릉시,2017,4/4,2017.4/4,결핵과,1
강릉시,2018,1/4,2018.1/4,결핵과,1
강릉시,2018,2/4,2018.2/4,결핵과,1
강릉시,2018,3/4,2018.3/4,결핵과,1
강릉시,2018,4/4,2018.4/4,결핵과,1
강릉시,2019,1/4,2019.1/4,결핵과,1
강릉시,2019,2/4,2019.2/4,결핵과,1
강릉시,2019,3/4,2019.3/4,결핵과,1
강릉시,2019,4/4,2019.4/4,결핵과,1
강릉시,2020,1/4,2020.1/4,결핵과,1
강릉시,2020,2/4,2020.2/4,결핵과,1
강릉시,2020,3/4,2020.3/4,결핵과,1
강릉시,2020,4/4,2020.4/4,결핵과,1
강릉시,2021,1/4,2021.1/4,결핵과,1
강릉시,2021,2/4,2021.2/4,결핵과,1
강릉시,2021,3/4,2021.3/4,결핵과,1
강릉시,2021,4/4,2021.4/4,결핵과,1
