시군구,연도,분기,기간,전문과목,전문의수,고령인구비율,세이상인구_평균,전체인구_평균
강릉시,2009,01-04,2009.1/4,가정의학과,16,13.3,28964.67,217929
강릉시,2009,02-04,2009.2/4,가정의학과,16,13.5,29331,217517
강릉시,2009,03-04,2009.3/4,가정의학과,12,13.57,29495.67,217568.67
강릉시,2009,04-04,2009.4/4,가정의학과,13,13.67,29763.67,217557.67
강릉시,2010,01-04,2010.1/4,가정의학과,15,13.87,30116,217300.33
강릉시,2010,02-04,2010.2/4,가정의학과,14,14.1,30562.67,216973
강릉시,2010,03-04,2010.3/4,가정의학과,14,14.2,30847.67,216862.33
강릉시,2010,04-04,2010.4/4,가정의학과,13,14.3,31226.33,218578.67
강릉시,2011,01-04,2011.1/4,가정의학과,13,14.37,31403.67,218322.33
강릉시,2011,02-04,2011.2/4,가정의학과,13,14.53,31648,217910.33
강릉시,2011,03-04,2011.3/4,가정의학과,12,14.67,31925,217914
강릉시,2011,04-04,2011.4/4,가정의학과,12,14.77,32153,217735.33
강릉시,2012,01-04,2012.1/4,가정의학과,12,14.93,32498.33,217698
강릉시,2012,02-04,2012.2/4,가정의학과,14,15.1,32884.33,217812.67
강릉시,2012,03-04,2012.3/4,가정의학과,14,15.23,33201.67,217732
강릉시,2012,04-04,2012.4/4,가정의학과,14,15.37,33518.33,217878.33
강릉시,2013,01-04,2013.1/4,가정의학과,15,15.6,33938.67,217312
강릉시,2013,02-04,2013.2/4,가정의학과,15,15.77,34250.33,217195.33
강릉시,2013,03-04,2013.3/4,가정의학과,14,15.9,34512.33,216956
강릉시,2013,04-04,2013.4/4,가정의학과,15,16.03,34759.33,216905.33
강릉시,2014,01-04,2014.1/4,가정의학과,16,16.27,35150.33,216386.67
강릉시,2014,02-04,2014.2/4,가정의학과,14,16.4,35466.67,216135.67
강릉시,2014,03-04,2014.3/4,가정의학과,15,16.57,35710.33,215790.33
강릉시,2014,04-04,2014.4/4,가정의학과,13,16.67,35964.67,215893.67
강릉시,2015,01-04,2015.1/4,가정의학과,13,16.8,36168.67,215380.33
강릉시,2015,02-04,2015.2/4,가정의학과,14,16.9,36397,215144.67
강릉시,2015,03-04,2015.3/4,가정의학과,13,17.03,36621.67,214883.33
강릉시,2015,04-04,2015.4/4,가정의학과,14,17.17,36859.67,214710.67
강릉시,2016,01-04,2016.1/4,가정의학과,15,17.33,37143.33,214201.67
강릉시,2016,02-04,2016.2/4,가정의학과,15,17.4,37314,214214.67
강릉시,2016,03-04,2016.3/4,가정의학과,15,17.5,37450.33,214061.67
강릉시,2016,04-04,2016.4/4,가정의학과,14,17.57,37614,213930
강릉시,2017,01-04,2017.1/4,가정의학과,18,17.83,38101.67,213650.67
강릉시,2017,02-04,2017.2/4,가정의학과,19,18.2,38824.67,213766
강릉시,2017,03-04,2017.3/4,가정의학과,19,18.37,39301,213718.33
강릉시,2017,04-04,2017.4/4,가정의학과,18,18.53,39688.33,213963.67
