시군구,날짜,전문의수,고령인구비율,세이상인구,전체인구,공급_raw,수요_raw,접근성_raw,공급지수,수요지수,접근성지수,AMAI_raw,AMAI,cluster,위험등급
원주시,2025-10-01,213,20.13,73133.67,363084.0,0.5866411078428132,2.9124751978124443,0.95,0.6567208019503407,0.5773739371487522,0.95,0.7235547790924446,0.7327259799388935,2,저위험
홍천군,2025-10-01,23,35.47,23461.33,66151.33,0.34768764286371867,0.9803365793840332,0.45,0.3731998838311298,0.18071988128833155,0.45,0.3286241857513501,0.2735824609562319,1,중위험
강릉시,2025-10-01,143,27.47,56739.33,206503.0,0.6924838864326427,2.5202976489147826,0.88,0.7823044245385387,0.49686272853050795,0.88,0.7109248661701528,0.7180425323626325,2,저위험
고성군,2025-10-01,2,35.2,9442.0,26813.0,0.07459068362361541,0.21181952976064392,0.28,0.049167333702204837,0.022948900560793184,0.28,0.11487058559962939,0.0250740348589176,0,고위험
동해시,2025-10-01,28,26.4,22847.0,86452.67,0.32387663677709433,1.2255438350768153,0.75,0.34494786284615486,0.23105915382771997,0.75,0.43569802392249524,0.398065749103066,1,중위험
삼척시,2025-10-01,14,32.0,19402.0,60680.33,0.2307172686766865,0.7215750953509947,0.6,0.23441324650341247,0.12759802390024627,0.6,0.3148668735146174,0.25758830689822715,1,중위험
속초시,2025-10-01,35,25.6,20414.67,79741.0,0.4389210067593835,1.7144533808285907,0.72,0.48144927497122464,0.33142874036859526,0.72,0.5049066900827349,0.47852725565812726,1,중위험
양구군,2025-10-01,5,27.93,5707.67,20434.33,0.2446862706044191,0.8760142054463554,0.2,0.25098762115040185,0.15930325395906392,0.2,0.20123321477759537,0.12547861768423077,0,고위험
화천군,2025-10-01,8,29.53,6614.33,22393.0,0.35725449917384894,1.209495141609203,0.2,0.38455106421598007,0.2277644733661458,0.2,0.2677578191018254,0.20281965290247622,0,고위험
양양군,2025-10-01,1,36.6,9996.67,27319.330000000005,0.03660411876865208,0.10003331109259384,0.35,0.004095856103767871,0.0,0.35,0.11527617401046683,0.02554556908126046,0,고위험
인제군,2025-10-01,3,27.03,8348.67,30886.0,0.09713138638865505,0.3593386731060157,0.25,0.07591212580453063,0.053233511595891396,0.25,0.12441336441959827,0.03616840212787592,0,고위험
정선군,2025-10-01,6,36.23,12430.0,34315.0,0.17485064840448786,0.48270313757039424,0.3,0.16812688621490685,0.07855934210935955,0.3,0.1786956257990758,0.09927657588888941,0,고위험
철원군,2025-10-01,9,29.73,11895.67,39991.33,0.22504877932291822,0.7565778136078085,0.35,0.2276875214503359,0.13478382828833824,0.35,0.23393620096865542,0.1634988784950619,0,고위험
춘천시,2025-10-01,239,22.5,64087.33,285213.67,0.8379682502595336,3.729286272341194,0.9,0.9549232246375374,0.7450593311952048,0.9,0.861160173220884,0.8927050394405204,2,저위험
태백시,2025-10-01,11,32.57,12106.33,37180.67,0.29585265677030564,0.908615575488195,0.65,0.3116971019016577,0.16599607896155802,0.65,0.36920552935630185,0.3207620444627681,1,중위험
평창군,2025-10-01,11,37.2,14818.329999999998,39838.0,0.2761182790300718,0.7423238651049073,0.35,0.288282045351162,0.13185759596122903,0.35,0.2518296632904496,0.18430169143418645,0,고위험
영월군,2025-10-01,8,37.9,13698.329999999998,36151.67,0.2212899155142764,0.5840127957203542,0.4,0.22322758813987129,0.09935748072101905,0.4,0.23601824571523666,0.1659194490149027,0,고위험
횡성군,2025-10-01,5,38.87,17767.0,45690.0,0.1094331363536879,0.2814206112455676,0.5,0.0905082876340493,0.037237498180006656,0.5,0.20462032115102613,0.12941644363564406,0,고위험
