시군구,AMAI,공급지수,수요지수,접근성지수,위험등급,예측추세,정책우선순위
양양군,0.0255455690812604,0.0040958561037678,0.0,0.35,고위험,-0.000530885200747389,① 즉시 개입
인제군,0.0361684021278759,0.0759121258045306,0.0532335115958913,0.25,고위험,-0.0021428064899896146,① 즉시 개입
정선군,0.0992765758888894,0.1681268862149068,0.0785593421093595,0.3,고위험,-0.00013362134884773165,① 즉시 개입
양구군,0.1254786176842307,0.2509876211504018,0.1593032539590639,0.2,고위험,-0.0022657597509894473,① 즉시 개입
철원군,0.1634988784950619,0.2276875214503359,0.1347838282883382,0.35,고위험,-0.0004158264731835437,① 즉시 개입
영월군,0.1659194490149027,0.2232275881398712,0.099357480721019,0.4,고위험,-0.0020668168956052015,① 즉시 개입
동해시,0.398065749103066,0.3449478628461548,0.2310591538277199,0.75,중위험,-0.001976776942030135,② 모니터링 강화
원주시,0.7327259799388935,0.6567208019503407,0.5773739371487522,0.95,저위험,-0.001143169704028791,② 모니터링 강화
고성군,0.0250740348589176,0.0491673337022048,0.0229489005607931,0.28,고위험,3.1119479994352226e-05,③ 구조 지원
횡성군,0.129416443635644,0.0905082876340493,0.0372374981800066,0.5,고위험,0.0008509994558574624,③ 구조 지원
평창군,0.1843016914341864,0.288282045351162,0.131857595961229,0.35,고위험,0.0013225943182790083,③ 구조 지원
화천군,0.2028196529024762,0.38455106421598,0.2277644733661458,0.2,고위험,0.00538893606746888,④ 현상 유지
삼척시,0.2575883068982271,0.2344132465034124,0.1275980239002462,0.6,중위험,0.0008945088178477992,④ 현상 유지
홍천군,0.2735824609562319,0.3731998838311298,0.1807198812883315,0.45,중위험,0.0007409647044706969,④ 현상 유지
태백시,0.3207620444627681,0.3116971019016577,0.165996078961558,0.65,중위험,0.001187334695892485,④ 현상 유지
속초시,0.4785272556581272,0.4814492749712246,0.3314287403685952,0.72,중위험,0.002315419303034366,④ 현상 유지
강릉시,0.7180425323626325,0.7823044245385387,0.4968627285305079,0.88,저위험,0.0010979645644838023,④ 현상 유지
춘천시,0.8927050394405204,0.9549232246375374,0.7450593311952048,0.9,저위험,0.002083767712523134,④ 현상 유지
